Last Name,Year,Year Published,Decade,#Cited,Web of Science Citations,Title,Terminologies,Color,Astronomical Seasons,Dormant-Growing,Dry-Wet,Lightning,Cool-Hot,Defined?,Definitions,DormantStart,DormantEnd,GrowingStart,GrowingEnd,DormantStart2,DormantEnd2,DryStart1,DryEnd1,WetStart,WetEnd,DryStart2,DryEnd2,LightningStart,LightningEnd,Burn Months,Calendar.MonthsStart,Calendar.MonthsEnd,Calendar.MonthsStart2,Calendar.MonthsEnd2,WinterStartEx,WinterEndEx,SpringStartEx,SpringEndEx,SummerStartEx,SummerEndEx,FallStartEx,FallEndEx,WinterStartEx2,WinterEndEx2,DormantStartEx,DormantEndEx,GrowingStartEx,GrowingEndEx,GrowingStartEx2,GrowingEndEx2,DormantStartEx2,DormantEndEx2,DryStartEx,DryEndEx,WetStartEx,WetEndEx,LightningStartEx,LightningEndEx,Exact Date,Location1,GPS1,Latitude1,Longitude1,Location2,GPS2
Cronan,2015,2015-01-01,2010s,9,,Effects of dormant and growing season burning on surface fuels and potential fire behavior in northern Florida longleaf pine (Pinus palustris) flatwoods,Dormant-Growing,Red,Yes,Yes,No,No,No,Yes,"Growing = 15March - 14October, Dormant = 15October-14March",2019-01-01,2019-03-14,2019-03-15,2019-10-14,2019-10-15,2019-12-30,.,.,.,.,.,.,.,.,"Growing = 15March - july, Dormant = Dec-march",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-01-01,2019-03-14,2019-03-15,2019-07-30,.,.,2019-12-01,2019-12-30,.,.,.,.,.,.,.,Kisatchie National Forest,"31°00'00.0""N 93°00'00.0""W",31,-93,St. Marks National Wildlife Refuge,"30°00'00.0""N 84°30'00.0""W"
Cushwa,1970,1970-01-01,1970s,18,,Response of legumes to prescribed burns in loblolly pine stands of the South Carolina Piedmont,Winter-Summer,White,Yes,No,No,No,No,Yes,Spring. Summer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Spring = 6April-5May, Summer=26July-18Aug",.,.,.,.,.,.,2019-04-06,2019-05-05,2019-07-26,2019-08-19,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,Sumter National Forest SC,NA,1,1,.,.
Drewa,2002,2002-01-01,2000s,170,,Fire Effects on Resprouting of Shrubs in Headwaters of Southeastern Longleaf Pine Savannas,Dormant-Growing,Red,No,Yes,No,No,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Growing = June, Dormant = January",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-01-01,2019-01-30,2019-06-01,2019-06-30,.,.,.,.,.,.,.,.,.,.,"January&June/1994, Janurary&June/1996",Kisatchie National Forest,"31°00'00.0""N 93°00'00.0""W",31,-93,St. Marks National Wildlife Refuge,"30°00'00.0""N 84°30'00.0""W"
Fill,2012,2012-01-01,2010s,21,,The reproductive response of an endemic bunchgrass indicates historical timing of a keystone process,Dormant-Growing,Red,No,Yes,No,No,No,Yes,Growing = Late May - Early June,2019-01-01,2019-03-30,2019-04-01,2019-08-30,2019-09-01,2019-12-30,.,.,.,.,.,.,.,.,"Spring = March-April, Early Summer = May-June, Late-Summer = August",.,.,.,.,.,.,2019-03-01,2019-04-30,2019-05-01,2019-08-30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,James W. Webb Wildlife Center,"32.5899""N 81.31066° W",32.5899,-81.31066,.,.
Gilliam,1986,1986-01-01,1980s,61,,Herb-layer response to burning in pine flatwoods of the lower Coastal Plain of South Carolina,Winter-Summer,White,Yes,No,No,No,No,Yes,Winter. Summer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Winter = Jan, Summer = July",.,.,.,.,2019-01-01,2019-01-30,.,.,2019-07-01,2019-07-30,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,Santee Experimental Forest,"33°08'11.2""N 79°48'51.2""W",33.136444,-79.814222,.,.
Glitzenstein,1995,1995-01-01,1990s,416,,Effects of fire regime and habitat on tree dynamics in North Florida longleaf pine savannas,"Winter-Summer, Dormant-Growing",Pink,Yes,Yes,No,No,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LateNovember, EarlyJanuary, LateFeburary, EarlyApril, LateMay, EaryJuly, LateAugust, EarlyOctober/ 1981-1989",St. Marks Wildlife Refuge,"30°07'38.6""N 84°18'29.1""W",30.127389,-84.308083,.,.
Grelen,1983,1983-01-01,1980s,25,,May burns stimulate growth of longleaf pine seedlings,N/A,Grey,No,No,No,No,No,Yes,March. May,.,.,.,.,.,.,.,.,.,.,.,.,.,.,May,2019-03-01,2019-03-02,2019-05-01,2019-05-02,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,Kisatchie National Forest,"31°00'00.0""N 93°00'00.0""W",31,-93,.,.
Haywood,2000,2000-01-01,2000s,32,,Twenty years of prescribed burning influence the development of direct-seeded longleaf pine on a wet pine site in Louisiana,"Dormant-Growing, Winter-Summer",Pink,Yes,Yes,No,No,No,Yes,Growing = March10 - November15,2019-01-01,2019-03-09,2019-03-10,2019-11-15,2019-11-16,2019-12-30,.,.,.,.,.,.,.,.,"1March,1May",2019-03-02,2019-03-03,2019-05-02,2019-05-03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,Kisatchie National Forest,"31°00'00.0""N 92°30'00.0""W",31,-93,.,.
Haywood,2001,2000-01-01,2000s,63,,Vegetative response to 37 years of seasonal burning on a Louisiana longleaf pine site,Dormant-Growing,Red,No,Yes,No,No,No,Yes,Growing = March10 - November15,2019-01-01,2019-03-09,2019-03-10,2019-11-15,2019-11-16,2019-12-30,.,.,.,.,.,.,.,.,"1March,1May",2019-03-02,2019-03-03,2019-05-02,2019-05-03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,Kisatchie National Forest,"31°00'00.0""N 92°30'00.0""W",31,-93,.,.
Hiers,2000,2000-01-01,2000s,89,,The effects of fire regime on legume reproduction in longleaf pine savannas: is a season selective?,"Dormant-Growing,Lightning",Orange,Yes,Yes,No,Yes,No,No,Lightning = May-August,.,.,.,.,.,.,.,.,.,.,.,.,2019-05-01,2019-08-31,"Lightning = June-July, Late winter/early spring = March-April",.,.,.,.,.,.,2019-03-01,2019-04-30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-06-01,2019-07-30,"March&April/1997, July/1997",Itchauway,"31°13'09.3""N 84°28'43.3""W",31.21925,-84.478694,.,.
Hodgkins,1958,1958-01-01,1950s,106,,Effects of Fire on Undergrowth Vegetation in Upland Southern Pine Forests,Winter-Summer,White,Yes,No,No,No,No,Yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"August, Jan",2019-01-01,2019-01-02,2019-08-01,2019-08-01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,NA,1,1,.,.
Huffman,2000,2000-01-01,2000s,22,,Restoration of Florida Pine Savanna: Flowering Response of Lilium catesbaei to Fire and Roller-Chopping,"Winter-Summer, Dormant-Growing, Lightning",Brown,Yes,Yes,No,Yes,No,Yes,"Winter/Dormant = October-Febuary, Summer/ Growing = March-September, Lightning = April-June",2019-01-01,2019-02-28,2019-03-01,2019-09-30,2019-10-01,2019-12-30,.,.,.,.,.,.,2019-04-01,2019-06-30,"Summer/ Growing/ Lightning = June, Winter/ Growing/ Lightning = January",.,.,.,.,2019-01-01,2019-01-30,.,.,2019-06-01,2019-06-30,.,.,.,.,2019-01-01,2019-01-30,2019-06-01,2019-06-30,.,.,.,.,.,.,.,.,2019-06-01,2019-06-30,"January, June/ 1988, 1991, 1994",Myakka State Park,"27°13'02.7""N 82°15'24.0""W",27.217417,-82.256667,.,.
Huffman,1991,1991-01-01,1990s,24,,"Changes in woody vegetation in Florida dry prairie and wetlands during a period of fire exclusion, and after dry-growing-season fire","Dormant-Growing, Dry-Wet, Lightning",Brown,Yes,Yes,Yes,Yes,No,Yes,"Winter/Dormant = September-March, Summer/ Growing = April-October, Dry = October-May, Wet = June-September, Lightning = May-September",2019-01-01,2019-03-30,2019-04-01,2019-10-31,2019-09-01,2019-12-30,2019-01-01,2019-05-30,2019-06-01,2019-09-30,2019-10-01,2019-12-30,2019-05-01,2019-09-30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,Myakka State Park,"27°13'02.7""N 82°15'24.0""W",27.217417,-82.256667,.,.
Jacqmain,1999,1999-01-01,1990s,58,,Influences of Frequent Cool-season Burning Across a Soil Moisture Gradient on Oak Community Structure in Longleaf Pine Ecosystems,"Dormant-Growing,Cool-Hot",Red,No,Yes,No,No,Yes,Yes,Growing = March-November,2019-01-01,2019-02-28,2019-03-01,2019-11-30,2019-12-01,2019-12-30,.,.,.,.,.,.,.,.,Dormant = Feburary-April,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-02-01,2019-04-30,.,.,.,.,.,.,.,.,.,.,.,.,.,Itchauway,31°13'N 84°29'W,31.21925,-84.478694,.,.
Kirkman,1998,1998-01-01,1990s,62,,Effects of experimental fire regimes on the population dynamics of Schwalbea americana L.,"Winter-Summer, Dormant-Growing",Pink,Yes,Yes,No,Yes,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Dormant = March, Growing = June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-03-01,2019-03-30,2019-06-01,2019-06-30,.,.,.,.,.,.,.,.,.,.,March & June/ 1992,Itchauway,31°13'N 84°29'W,31.21925,-84.478694,.,.
Knapp,2018,2018-01-01,2010s,1,,Fire effects on a fire-adapted species: response of grass stage longleaf pine seedlings to experimental burning,Dormant-Growing,Red,No,Yes,No,No,No,Yes,Growing = April-August,2019-01-01,2019-03-30,2019-04-01,2019-08-31,2019-09-01,2019-12-30,.,.,.,.,.,.,.,.,"Dormant = January, Growing = May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-01-01,2019-01-30,2019-05-01,2019-05-30,.,.,.,.,.,.,.,.,.,.,"9-14January/2013, 20-24May2013","Dorchester County, South Carolina","33°5'9.24""N, 80°15'26.28""W",33.0859,-80.2573,.,.
Lashley,2017,2017-01-01,2010s,5,,Frequent fires eliminate fleshy fruit production,Dormant-Growing,Red,No,Yes,No,No,No,Yes,Growing = May-September,2019-01-01,2019-04-30,2019-05-01,2019-09-30,2019-10-01,2019-12-30,.,.,.,.,.,.,.,.,Growing = April-June,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-04-01,2019-06-30,.,.,.,.,.,.,.,.,.,.,.,Fort Bragg,"35°06'00.0""N 79°12'00.0""W",35.1,-79.2,.,.
Lashley,2014,2014-01-01,2010s,55,,Subtle effects of a managed fire regime: A case study in the longleaf pine ecosystem,Dormant-Growing,Red,No,Yes,No,No,No,Yes,Growing = June-August,2019-01-01,2019-05-30,2019-06-01,2019-08-31,2019-09-01,2019-12-30,.,.,.,.,.,.,.,.,Growing = June-August,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-06-01,2019-08-30,.,.,.,.,.,.,.,.,.,.,.,Fort Bragg,"35°06'00.0""N 79°12'00.0""W",35.1,-79.2,.,.
Lewis,1976,1976-01-01,1970s,128,,Shrub and herbaceous vegetation after 20 years of prescribed burning in the South Carolina Coastal Plain,Winter-Summer,White,Yes,No,No,No,No,Yes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Winter = December, Summer = June",.,.,.,.,.,.,.,.,2019-06-01,2019-06-05,.,.,2019-12-01,2019-12-05,.,.,.,.,.,.,,,.,.,.,.,.,.,.,Santee Experimental Forest,"33°08'11.2""N 79°48'51.2""W",33.136444,-79.814222,Westvaco Experimental Forest,NA
Liu,2005,2005-01-01,2000s,15,,Winter fires promote greater vital rates in the Florida Keys than summer fires,"Winter-Summer, Dormant-Growing,Dry-Wet, Lightning",Brown,Yes,Yes,Yes,Yes,No,Yes,"Wet/Growing/Summer = May-October, Dry/Dormant/Winter = November-April, Lightning = May-June",2019-01-01,2019-04-30,2019-05-01,2019-10-31,2019-11-01,2019-12-30,2019-01-01,2019-04-30,2019-05-01,2019-10-31,2019-11-01,2019-12-30,2019-05-01,2019-06-30,"Wet/Growing/Summer = May-October, Dry,Dormant/Winter = November-April",.,.,.,.,2019-11-01,2019-04-30,.,.,2019-05-01,2019-10-31,.,.,.,.,2019-11-01,2019-04-30,2019-05-01,2019-10-31,.,.,.,.,2019-11-01,2019-04-30,2019-05-01,2019-10-30,.,,*Appendix,Big Pine Key,"24°42'37.9""N 81°23'03.3""W",24.710528,-81.38425,.,.
Menges,2004,2004-01-01,2000s,14,,"The life of a fire-adapted Florida goldenrod, Solidago odora var. chapmanii",Winter-Sumer,White,Yes,No,No,No,No,Yes,Winter-Summer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"(spring: Feb.–April; late spring: May; summer: June–July; fall: October and november",.,.,.,.,.,.,2019-02-01,2019-04-01,2019-05-01,2019-07-30,2019-10-01,2019-11-30,,,,,,,,,,,,,,,,,,,,,,,
Olson,1995,1995-01-01,1990s,5,,Effects of early and late growing season fires on resprouting of shrubs in upland longleaf pine savannas and embedded seepage savannas,"Dormant-Growing,Lightning",Orange,No,Yes,No,Yes,No,Yes,"Dormant = November-March, Lightning = April-September",2019-01-01,2019-03-30,2019-04-01,2019-10-31,2019-11-01,2019-12-30,.,.,.,.,.,.,.,.,"Growing = June & August, Lightning = June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-06-01,2019-08-30,.,.,.,.,.,.,.,.,2019-05-01,2019-05-30,8June & 8August/1990,Kisatchie National Forest,"31°00'00.0""N 92°30'00.0""W",31,-93,.,.
Ortiz,2000,2000-01-01,2000s,40,,"Effects of Fire Season and Postfire Herbivory on the Cycad Zamia pumila ( Zamiaceae ) in Slash Pine Savanna , Everglades National Park , Florida","Dormant-Growing,Dry-Wet",Purple,No,Yes,Yes,No,No,Yes,"Growing = May-September, Wet = June-November",2019-01-01,2019-04-30,2019-05-01,2019-09-30,2019-10-01,2019-12-30,2019-01-01,2019-05-30,2019-06-01,2019-11-30,2019-12-01,2019-12-30,.,.,"Growing = May-September, Wet = June-November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-05-01,2019-09-30,.,.,.,.,.,.,2019-06-01,2019-11-30,.,.,"10June1995, 23June1995, 9 September1997, 26July1997",Everglades,"25°22'24.0""N 80°37'38.0""W",25.373333,-80.627222,.,.
Outcalt,1994,1994-01-01,1990s,50,,Seed production of wiregrass in central florida following growing season prescribed burns,Dormant-Growing,Red,No,Yes,No,No,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Growing = May-August,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-05-01,2019-08-30,.,.,.,.,.,.,.,.,.,.,.,Ocala National Forest,"29°28'00.0""N 81°50'00.0""W",29.466667,-81.833333,.,.
Platt,2002,2002-01-01,2000s,89,,Interactions of large-scale disturbances: Prior fire regimes and hurricane mortality of savanna pines,"Dry-Wet, Lightning",Green,No,No,Yes,Yes,No,Yes,"Wet = June-October, Lightning = June-October",.,.,.,.,.,.,2019-01-01,2019-05-30,2019-06-01,2019-10-31,2019-11-01,2019-12-30,2019-06-01,2019-10-31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Everglades,"25°22'24.0""N 80°37'38.0""W",25.373333,-80.627222,.,.
Platt,1988,1988-01-01,1980s,11,,Effects of fire season on flowering of forbs and shrubs in longleaf pine forests,"Dormant-Growing, Lightning",Orange,No,Yes,No,Yes,No,Yes,Growing = April-August,2019-01-01,2019-03-30,2019-04-01,2019-08-31,2019-09-01,2019-12-30,.,.,.,.,.,.,.,.,Growing = April-August,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-04-01,2019-08-30,.,.,.,.,.,.,.,.,.,.,"Feburary, March, April, May, June, July, August, September, November, December/ 1981-1983",St. Marks Wildlife Refuge,"30°07'38.6""N 84°18'29.1""W",30.127389,-84.308083,.,.
Reilly,2017,2017-01-01,2010s,9,,"Effects of Repeated Growing Season Prescribed Fire on the Structure and Composition of Pine-Hardwood Forests in the Southeastern Piedmont, USA ",Dormant-Growing,Red,No,Yes,No,No,No,Yes,Growing = April-October,2019-01-01,2019-03-30,2019-04-01,2019-10-31,2019-11-01,2019-12-30,.,.,.,.,.,.,.,.,Growing =April-September,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-04-01,2019-09-30,.,.,.,.,.,.,.,.,.,.,"April-May, June-July, August-September/ 1998-2004",Piedmont NationalWildlife Refuge,"33°05'59.9""N 83°42'30.1""W",33.099972,-83.708361,.,.
Robertson,2014,2014-01-01,2010s,11,,Effects of fire frequency and season on resprouting of woody plants in southeastern US pine-grassland communities,"Dormant-Growing, Late-Dormant, Early-Growing",Red,No,Yes,No,No,No,Yes,"Growing = April-October, Early-Growing = April-June, Late-Dormant = Janurary-March",2019-01-01,2019-03-30,2019-04-01,2019-10-31,2019-11-01,2019-12-30,.,.,.,.,.,.,.,.,"Late-Dormant = Feburary-March, Early-Growing = April-May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-02-01,2019-03-30,2019-04-01,2019-05-30,.,.,.,.,.,.,.,.,.,.,*Appendix,Pebble Hill Plantation,"30°35'00.0""N 84°20'00.0""W",30.583333,-84.333333,.,.
Sayer,2006,2006-01-01,2000s,48,,Fine root production and carbohydrate concentrations of mature longleaf pine (Pinus palustris P. Mill.) as affected by season of prescribed fire and drought,Dormant-Growing,Red,No,Yes,No,No,No,Yes,Growing = March-October,2019-01-01,2019-02-28,2019-03-01,2019-10-31,2019-11-01,2019-12-30,.,.,.,.,.,.,.,.,"Growing = March, May, July",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-03-01,2019-07-30,.,.,.,.,.,.,.,.,.,.,"March, May, July/1998,2001",Kisatchie National Forest,"31°00'00.0""N 92°30'00.0""W",31,-93,.,.
Shepherd,2011,2012-01-01,2010s,16,,Fire Season Effects on Flowering Characteristics and Germination of Longleaf Pine (Pinus palustris) Savanna Grasses,Dormant-Growing,Red,No,Yes,No,Yes,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Eglin Air Force Base,"30°29'00.0""N 86°31'00.0""W",30.483333,-86.516667,.,.
Slocum,2003,2003-01-01,2000s,97,,"Effects of Differences in Prescribed Fire Regimes on Patchiness and Intensity of Fires in Subtropical Savannas of Everglades National Park, Florida","Dry-Wet, Lightning",Green,No,No,Yes,Yes,No,Yes,Dry = October/November - May/July,.,.,.,.,.,.,2019-01-01,2019-07-15,2019-05-15,2019-11-15,2019-10-01,2019-12-30,2019-05-15,2019-07-30,Wet = May-September,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-05-01,2019-09-30,.,.,May through September in 1997 to 2000,Everglades,"25°24'01.5""N 80°39'21.8""W",25.373333,-80.627222,.,.
Sparks,1999,1999-01-01,1990s,37,,Influence of fire season and fire behavior on woody plants in Red-Cockaded woodpecker clusters,"Dormant-Growing, Early-Growing, Late-Growing",Red,Yes,Yes,No,No,No,No,"Late-Growing = September-October, Late-Dormant = March-April",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Late-Growing = September-October, Late-Dormant = March-April",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-03-01,2019-04-30,2019-09-01,2019-10-31,.,.,.,.,.,.,.,.,.,.,March-April & September-October 1994-1996,Ouachita National Forest,"34°45'15.9""N 93°40'35.6""W",34.754417,-93.676556,.,.
Sparks,1998,1998-01-01,1990s,136,,Effects of late growing-season and late dormant-season prescribed fire on herbaceous vegetation in restored pine-grassland communities,"Winter-Summer, Dormant-Growing",Pink,Yes,Yes,No,No,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Late-Growing = September-October, Late-Dormant = March-April",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-03-01,2019-04-30,2019-09-01,2019-10-31,.,.,.,.,.,.,.,.,.,.,.,Ouachita National Forest,"34°45'15.9""N 93°40'35.6""W",34.754417,-93.676556,.,.
